States,Population,#Districts,0-14(M),0-14(F),15-59(M),15-59(F),60+(M),60+(F),
andaman and nicobar islands,397000,3,47271,45404,141216,120898,14384,11408,380581
andhra pradesh,52221000,13,13211913,12428598,34674744,34883628,4334343,4908774,
arunachal pradesh,1504000,25,249602,243759,430262,394956,34048,31100,1383727
assam,34293000,33,10699416,10630830,21433125,21604590,2126166,2057580,
bihar,119520000,38,44700480,44341920,66214080,67170240,8605440,8007840,
chhattisgarh,28724000,28,8875716,8904440,17895052,17665260,1953232,2183024,
chandigarh,1179000,1,144742,121770,400887,320627,35034,32390,1055450
dadra and nagar haveli and daman and diu,959000,3,85494,77304,246887,151290,11680,14301,586956
delhi,19814000,11,5528106,5547920,13176310,13037612,1129398,1228468,
goa,1540000,2,164106,154054,499621,475175,75413,90176,1458545
gujarat,67936000,33,19429696,18342720,43411104,43479040,5163136,6114240,
haryana,28672000,22,8773632,7999488,18006016,18464768,1892352,2179072,
himachal pradesh,7300000,12,1934500,1752000,4606300,4796100,759200,751900,
jammu and kashmir,13203000,20,3485592,3287547,8595153,8819604,1122255,1095849,
jharkhand,37403000,24,12604811,12417796,22292188,22479203,2506001,2468598,
karnataka,65798000,30,17502268,16317904,43097690,43624074,5198042,5856022,
kerala,35125000,14,8711000,7622125,22269250,22831250,4144750,4671625,
ladakh,293000,2,36024,34164,108951,73509,11781,9860,274289
lakshadweep,64429,1,8262,8195,22113,20518,2748,2637,64473
madhya pradesh,82232000,52,26478704,26232008,50161520,49914824,5591776,6085168,
maharashtra,122153000,36,34202840,32126239,77200696,78177920,10749464,11848841,
manipur,3103000,16,444072,417616,890487,895822,104027,103770,2855794
meghalaya,3224000,11,596904,581038,824660,819601,70268,74418,2966889
mizoram,1192000,11,180955,175047,339660,332283,34724,34537,1097206
nagaland,2150000,12,351175,327857,617846,577427,55628,48569,1978502
odisha,43671000,30,12227880,11485473,27294375,27731085,3974061,4148745,
puducherry,1504000,4,151966,146426,406566,421458,53979,67558,1247953
punjab,29859000,22,7942494,7285596,19199337,19587504,2717169,2985900,
rajasthan,77264000,33,25651648,24569952,46512928,46590192,5099424,6103856,
sikkim,664000,4,84338,81599,215623,187089,23109,18819,610577
tamil nadu,75695000,38,18318190,17107070,49731615,50261480,7720890,8250755,
telangana,37220000,33,13211913,12428598,34674744,34883628,4334343,4908774,
tripura,3992000,8,520047,497944,1211542,1153224,142787,148373,3673917
uttar pradesh,224979000,75,76717839,74693028,133412547,134312463,14848614,15973509,
uttarakhand,11141000,13,1652441,1476567,3034123,3005744,451209,466208,10086292
west bengal,96906000,23,24711030,24711030,64248678,64151772,7946292,7946292,
